Fecha,Tipo,Activo,Cantidad,Precio,Plataforma,Operación,Comisión (%),Sector,Precio Actual,Valor Actual,Valor Compra,Ganancia/Pérdida,Precio Manual
2025-01-31,Cripto,Bitcoin,0.001,494.24,Bitso,Compra,0.0,Cripto,382.15,3462.279,4477.8144,-1015.5354000000002,
2024-10-05,Cripto,Bitcoin,0.001,610.16,Bitso,Compra,0.0,Cripto,484.9,24720.201999999997,31105.956799999996,-6385.754799999999,
2025-05-10,Cripto,Bitcoin,0.001,1656.92,Bitso,Compra,0.0,Cripto,1823.04,120411.79199999999,109439.566,10972.22599999998,
2024-05-23,Acción/ETF,AAPL,58.63,345.02,GBM,Compra,0.0,Technology,413.33,24233.5379,20228.5226,4005.015299999999,
2025-04-26,Acción/ETF,AAPL,53.19,935.85,GBM,Compra,0.0,Technology,993.23,52829.903699999995,49777.8615,3052.0421999999962,
2024-10-01,Acción/ETF,AAPL,46.11,1361.36,GBM,Compra,0.0,Technology,1329.18,61288.4898,62772.30959999999,-1483.8197999999902,
2025-01-15,Acción/ETF,TSLA,54.45,1654.97,GBM,Compra,0.0,Consumer Cyclical,2090.32,113817.92400000001,90113.1165,23704.80750000001,
2024-06-03,Acción/ETF,TSLA,12.95,1497.54,GBM,Compra,0.0,Consumer Cyclical,1644.85,21300.8075,19393.143,1907.664499999999,
2025-01-28,Acción/ETF,TSLA,60.47,1074.65,GBM,Compra,0.0,Consumer Cyclical,940.09,56847.2423,64984.0855,-8136.843200000003,
2025-05-24,Acción/ETF,VOO,14.79,815.49,GBM,Compra,0.0,Financial Services,901.79,13337.4741,12061.097099999999,1276.3770000000004,
2025-04-26,Acción/ETF,VOO,61.75,293.16,GBM,Compra,0.0,Financial Services,278.06,17170.205,18102.63,-932.4249999999993,
2024-02-28,Acción/ETF,VOO,9.56,1182.89,GBM,Compra,0.0,Financial Services,1027.97,9827.3932,11308.4284,-1481.0352000000003,
2024-07-12,Inmueble,LIVING DEMO,30.33,876.64,100 ladrillos,Compra,0.0,,801.54,24310.708199999997,26588.491199999997,-2277.7829999999994,801.54
2024-10-31,Inmueble,LIVING DEMO,62.71,311.91,100 ladrillos,Compra,0.0,,303.63,19040.6373,19559.8761,-519.2388000000028,303.63
2025-04-08,Inmueble,LIVING DEMO,65.39,1443.74,100 ladrillos,Compra,0.0,,1551.67,101463.7013,94406.1586,7057.542700000005,1551.67
